Cable,UK,REMEDY,GERONTIC,DACRON,LITTLE,PINNAGE,STREET CAR,VITREOUS
Apollo,UK,IRU/LC,DCO,IRU/LC,IRU/LC,,IRU/LC,
CANTAT 3,UK,DCO,IRU/LC,,,,,
Concerto,UK,,,,,,DCO,
EIG,UK,DCO,DCO,DCO,,,,
Flag Atlantic 1,UK,,,IRU/LC,IRU/LC,,,
Flag EA,UK,IRU/LC,IRU/LC,IRU/LC,,‘,,
Hibernia,UK,,,,IRU/LC,,,IRU/LC
Solas,UK,,DCO,,,,,
SMW-3,UK,DCO,IRU/LC,DCO,,,,
Tangerine,UK,,,,DCO,,,
TAT-14,UK,DCO,DCO,DCO,DCO,,,
Tata TGN-Atlantic,UK,IRU/LC,,,,,,
Tata TGN-Westem Europe,UK,IRU/LC,,,,,,
UK-France 3,UK,DCO,DCO,,,,,
UK-Germany 6,UK,DCO,DCO,,,,,
UK-Ireland (GX),UK,,,,,DCO,,
UK-Netherlands 1,UK,DCO,DCO,,,,,
Ulysses,UK,,,DCO,,,,
Yellow/AC-2,UK,IRU/LC,,,DCO,DCO,,
AAG,,DCO,,,,,,
AC-1,,IRU/LC,,IRU/LC,IRU/LC,DCO,,
Americas ll,,,IRU/LC,DCO,DCO,DCO,,
APCN-2,,DCO,DCO,DCO,,,,
APCN,,IRU/LC,IRU/LC,DCO,,,,
ARCOS,,,,,IRU/LC,DCO,,
Antilles 1,,,,DCO,,,,
Atlantis ll,,,,DCO,,,,
Australia-Japan Cable,,IRU/LC,IRU/LC,DCO,,,,
Bahamas 2,,,,DCO,,,,
Carac,,,DCO,,,,,
Cayman-Jamaica FS,,,DCO,,,,,
China-US,,,IRU/LC,,DCO,,,
Circa N,,,,,,,,DCO
Circe 5,,,,,,,,DCO
Columbus Ill,,,,DCO,,,,
Denmark-Poland 2,,IRU/LC,,,,,,
Denmark-Russia 1,,IRU/LC,,,,,,
Flag Falcon,,,,,,,IRU/LC,
Flag North Asia Loop,,,,IRU/LC,,,,
Gemini Bermuda,,,DCO,,,,,
Globenet,,,IRU/LC,,,,,
G0-1,,,,,,,IRU/LC,
Guam-Phillipines,,,,DCO,,,,
Italy-Malta,,,,,,,IRU/LC,
Japan-US,,DCO,DCO,DCO,DCO,IRU/LC,,
Kattegat,,,DCO,,,,,
Latvia-Sweden,,,DCO,,,,,
MAC,,,,,,DCO,,
Maya-1,,DCO,DCO,DCO,,DCO,,
PAC,,,,,,DCO,,
Pan American,,,,DCO,,,,
PC-1,,,IRU/LC,IRU/LC,,,,
PEC,,,,,,DCO,,
Russia-Japan-Korea,,,,DCO,,,,
SACILAN,,,,,,DCO,,
SAFE,,DCO,DCO,DCO,,,,
SAT-3lWASC,,DCO,DCO,DCO,,,,
SMW-4,,,,DCO,,,IRU/LC,
Southern Cross,,IRU/LC,IRU/LC,,IRU/LC,IRU/LC,,
Sweden-Finland Link,,,DCO,,,,,
Taino-Carib,,,DCO,,,,,
TPC-5,,,,DCO,,,,
TPE,,,,DCO,,,,
